Country,Year,Population,GDP (US$),gdp_cap,Renewable Capacity,Oil Capacity,RC/cap (Watt),Continent
Italy,2008,58826731,2.39886E+12,40778.34274,4679,2396,79.53867095,Europe
Japan,2008,128063000,5.10668E+12,39876.30397,4419,4650.1778,34.50645385,Asia
Jordan,2008,6556473,22657662393,3455.769953,1.4,0,0.213529439,Asia
Kazakhstan,2008,15776938,1.33442E+11,8458.017154,0,330,0,Asia
Kenya,2008,39791984,35895153328,902.0699578,128,0,3.216728274,Africa
South Korea,2008,24310143,0,0,661,0,27.19029666,Asia
Kuwait,2008,2656010,1.47395E+11,55494.9301,0,936,0,Asia
Lithuania,2008,3198231,47797551588,14944.99665,0,240.9863014,0,Europe
Malaysia,2008,27236003,2.30814E+11,8474.587762,0.54,568,0.019826698,Asia
Mexico,2008,110815272,1.10999E+12,10016.57121,1083,1463,9.773021177,NAM
Morocco,2008,31536807,92507257784,2933.310838,126.845,130.5342466,4.022125639,Africa
Netherlands,2008,16445593,9.47998E+11,57644.47997,2208,1279.58,134.2608929,Europe
New Zealand,2008,4259800,1.33131E+11,31252.96256,915,102.62,214.7988168,Oceania
Nicaragua,2008,5667436,8496946608,1499.25762,87.5,0,15.43908039,NAM
Nigeria,2008,150269622,3.39476E+11,2259.114059,0,320,0,Africa
Norway,2008,4768212,4.6225E+11,96944.09561,395,316,82.8402764,Europe
Oman,2008,2750956,60905452536,22139.74071,0,222,0,Asia
Pakistan,2008,171648984,1.70078E+11,990.8466112,7.1,274.252934,0.041363484,Asia
Papua New Guinea,2008,6976200,11670840932,1672.951024,56,0,8.027292796,Oceania
Peru,2008,28562321,1.20551E+11,4220.616378,0,230,0,SAM
Philippines,2008,90901967,1.81625E+11,1998.02692,1880.5,269.8,20.6871211,Asia
Poland,2008,38125759,5.33609E+11,13996.02515,526,492.4555068,13.79644665,Europe
Portugal,2008,10558177,2.62345E+11,24847.54514,2941,306.494411,278.551875,Europe
Qatar,2008,1436670,1.1527E+11,80234.19083,0,137,0,Asia
Romania,2008,20537875,2.14314E+11,10435.04398,5.1,358.0253151,0.248321698,Europe
Russia,2008,142742366,1.66085E+12,11635.27293,90,5333,0.630506573,Asia
Saudi Arabia,2008,25888535,5.19797E+11,20078.26007,0,2102,0,Asia
Singapore,2008,4839396,1.93612E+11,40007.46926,0,1427,0,Asia
Slovakia,2008,5379233,1.0047E+11,18677.29271,0,122,0,Europe
South Africa,2008,49779472,3.16132E+11,6350.65271,8.4,520,0.168744257,Africa
Spain,2008,45954106,1.62522E+12,35366.2596,19939,1361.572603,433.8894113,Europe
Sweden,2008,9219637,5.17706E+11,56152.55234,1097,454,118.9851618,Europe
Switzerland,2008,7647675,5.70304E+11,74572.23237,49,140,6.407176037,Europe
Thailand,2008,66530980,2.91383E+11,4379.658787,33.45,1164.5,0.502773294,Asia
Trinidad and Tobago,2008,1314449,27871587350,21204.00818,0,165,0,NAM
Tunisia,2008,10414425,44860969077,4307.580023,19,0,1.824392609,Africa
Turkey,2008,70418612,7.70462E+11,10941.17215,397.7,613,5.647654629,Europe
Turkmenistan,2008,4935765,19271523179,3904.465301,0,251.0273973,0,Asia
Ukraine,2008,46258189,1.88111E+11,4066.547885,83,726,1.794276901,Europe
United Arab Emirates,2008,7089486,3.15475E+11,44498.94051,0,682,0,Asia
United Kingdom,2008,61806995,2.93888E+12,47549.34863,3469,1827.479452,56.12633327,Europe
United States,2008,304093966,1.47128E+13,48382.55845,27633,17672,90.86993854,NAM
Uruguay,2008,3340221,30366213119,9091.079039,14.6,0,4.370968268,SAM
Uzbekistan,2008,27302800,29549438884,1082.286025,0,232,0,Asia
Venezuela,2008,27635827,3.15953E+11,11432.74592,0,1303,0,SAM
Vietnam,2008,86243424,99130304099,1149.424495,3.424,14,0.039701578,Asia
Algeria,2009,35333882,1.37211E+11,3883.2709,0,554.2684932,0,Africa
Argentina,2009,40482786,3.32976E+11,8225.137583,27.8,625,0.686711631,SAM
Australia,2009,21691700,9.28043E+11,42783.32257,2040.405,733.9,94.06385853,Oceania
Austria,2009,8343323,4.00172E+11,47963.1794,1049.885,200.8219178,125.8353536,Europe
Azerbaijan,2009,8947243,44291490421,4950.294791,0,325,0,Asia
Bahrain,2009,1185075,22938218085,19355.92101,0,260,0,Asia
Bangladesh,2009,145924795,1.02478E+11,702.2644196,0,39,0,Asia
Belarus,2009,9504583,50874078052,5352.583912,0,460,0,Europe
Belgium,2009,10796493,4.81346E+11,44583.54481,994,786,92.06693322,Europe
Brazil,2009,193886505,1.667E+12,8597.794335,602,1991.741,3.104909235,SAM
Bulgaria,2009,7444443,52023504656,6988.233325,335,180,45.00000873,Europe
Canada,2009,33628895,1.37463E+12,40876.31015,3377,1976.088711,100.4195945,NAM
Chile,2009,16886184,1.72389E+11,10208.90797,163,242,9.652861771,SAM
China,2009,1331260000,5.1017E+12,3832.236432,18039.008,11333.90707,13.55032676,Asia
Colombia,2009,44750054,2.32398E+11,5193.241458,0,350,0,SAM
Costa Rica,2009,4520739,30745712007,6801.036735,285.3,0,63.10915096,NAM
Croatia,2009,4305181,63084004705,14653.04355,0,0,0,Europe
Curacao,2009,146833,0,0,0,320,0,SAM
Czech Republic,2009,10443936,2.07434E+11,19861.69743,465,193.3915068,44.52344403,Europe
Denmark,2009,5523095,3.21241E+11,58163.27688,3487.1,188.7726027,631.3670143,Europe
Ecuador,2009,14774412,62519686000,4231.619235,0,175,0,SAM
Egypt,2009,81134789,1.89147E+11,2331.26884,436.3,810,5.377471309,Africa
El Salvador,2009,6157678,17601620000,2858.483344,204.4,0,33.19433072,NAM
Ethiopia,2009,85233923,32437389116,380.5690032,7.3,0,0.08564665,Africa
Finland,2009,5338871,2.52497E+11,47293.99283,147,261.0684932,27.5339112,Europe
France,2009,64707035,2.69022E+12,41575.42196,4859,1847,75.0922987,Europe
Germany,2009,81902307,3.39779E+12,41485.90165,36307,2362.268219,443.2964263,Europe
Greece,2009,11107017,3.3E+11,29710.97023,1217,425,109.5703734,Europe
Guatemala,2009,14000190,37125943565,2651.817123,54.2,0,3.871376031,NAM
Honduras,2009,8150780,14486159608,1777.272802,3.5,0,0.429406756,NAM
Hungary,2009,10022650,1.31114E+11,13081.79264,1,165,0.099774012,Europe
Iceland,2009,318499,13154414219,41301.27322,575,0,1805.343188,Europe
India,2009,1217726217,1.34189E+12,1101.960838,10964.362,3574.442368,9.003963163,Asia
Indonesia,2009,238620554,5.3958E+11,2261.247309,1189,1099.245,4.982806301,Asia
Iran,2009,72924833,4.16397E+11,5709.948293,92,1950,1.261572995,Asia
Iraq,2009,28973157,1.11658E+11,3853.82862,0,853,0,Asia
Ireland,2009,4535375,2.35509E+11,51927.23096,1251.3,75,275.8978034,Europe
Israel,2009,7485600,2.07953E+11,27780.46372,24.5,275,3.272950732,Asia
Italy,2009,59095365,2.19124E+12,37079.75867,6838,2396,115.7112745,Europe
Japan,2009,128047000,5.28949E+12,41308.99684,5143,4629.7528,40.16493944,Asia
Jordan,2009,6893258,24537876056,3559.692102,1.4,0,0.203096997,Asia
Kazakhstan,2009,16092822,1.15309E+11,7165.223175,0,330,0,Asia
Kenya,2009,40901798,42347217913,1035.338787,163,0,3.985154882,Africa
South Korea,2009,24428340,0,0,875,0,35.81905279,Asia
Kuwait,2009,2821041,1.05963E+11,37561.72593,0,936,0,Asia
Lithuania,2009,3162916,37388122046,11820.77616,0,240.9863014,0,Europe
Malaysia,2009,27735038,2.02258E+11,7292.494973,0.54,572,0.019469957,Asia
Mexico,2009,112463886,9.00045E+11,8002.972178,1415,1463,12.58181671,NAM
Morocco,2009,31929087,92897320376,2909.48878,234.445,130.5342466,7.342677854,Africa
Netherlands,2009,16530388,8.68077E+11,52514.02712,2291,1279.58,138.5932381,Europe
New Zealand,2009,4302600,1.21374E+11,28209.36233,1130,135.605,262.631897,Oceania
Nicaragua,2009,5745538,8298679909,1444.36951,87.5,0,15.22920917,NAM
Nigeria,2009,154324939,2.95009E+11,1911.607866,0,220,0,Africa
Norway,2009,4828726,3.8619E+11,79977.69708,423,316,87.60074604,Europe
Oman,2009,2876186,48388363589,16823.79498,0,222,0,Asia
Pakistan,2009,175525610,1.68153E+11,957.9956753,9.7,276.0842291,0.055262591,Asia
Papua New Guinea,2009,7144774,11619637799,1626.312855,56,0,7.837896622,Oceania
Peru,2009,28792663,1.20823E+11,4196.311627,0,252,0,SAM
Philippines,2009,92414161,1.75975E+11,1904.196388,1880.5,266.95,20.34861302,Asia
Poland,2009,38151603,4.39738E+11,11526.05589,709,491.0497534,18.58375387,Europe
Portugal,2009,10568247,2.43702E+11,23059.79745,3466,306.494411,327.9635686,Europe
Qatar,2009,1654944,97798351648,59094.65918,0,283,0,Asia
Romania,2009,20367487,1.74104E+11,8548.118672,15.1,283.0986575,0.741377667,Europe
Russia,2009,142785349,1.22264E+12,8562.813277,91,5389,0.63732029,Asia
Saudi Arabia,2009,26630303,4.29098E+11,16113.14371,0,2109,0,Asia
Singapore,2009,4987573,1.94152E+11,38927.20688,0,1427,0,Asia
Slovakia,2009,5386406,89046289247,16531.67051,0,122,0,Europe
South Africa,2009,50477013,3.29753E+11,6532.736968,8.4,520,0.166412383,Africa
Spain,2009,46362946,1.48558E+12,32042.47408,22599,1361.572603,487.4366698,Europe
Sweden,2009,9298515,4.36537E+11,46946.96027,1484,454,159.5953763,Europe
Switzerland,2009,7743831,5.582E+11,72083.1677,79,140,10.20166892,Europe
Thailand,2009,66866834,2.8171E+11,4213.006654,42.1,1235.5,0.629609591,Asia
Trinidad and Tobago,2009,1320921,19172165226,14514.24061,0,165,0,NAM
Tunisia,2009,10525691,43454935940,4128.463959,53,0,5.03529887,Africa
Turkey,2009,71321406,6.49273E+11,9103.474051,873.7,613,12.25017914,Europe
Turkmenistan,2009,5007953,20214385965,4036.456805,0,251.0273973,0,Asia
Ukraine,2009,46053331,1.21553E+11,2639.391654,86,742,1.86740021,Europe
United Arab Emirates,2009,7917368,2.53547E+11,32024.19778,10,702,1.263046002,Asia
United Kingdom,2009,62276270,2.4258E+12,38952.21103,4449,1757.191781,71.43973138,Europe
United States,2009,306771529,1.44489E+13,47099.98047,37866,17597,123.4338797,NAM
Uruguay,2009,3349676,31660911277,9451.932449,30.6,0,9.135211883,SAM
Uzbekistan,2009,27767400,33689223673,1213.265328,0,232,0,Asia
Venezuela,2009,28031010,3.29788E+11,11765.09976,0,1303,0,SAM
Vietnam,2009,87092250,1.06015E+11,1217.268583,3.515,162,0.040359504,Asia
Algeria,2010,35977451,1.61207E+11,4480.786318,0,554.2684932,0,Africa
Argentina,2010,40788453,4.23627E+11,10385.96443,27.8,625,0.681565442,SAM
Australia,2010,22031750,1.14759E+12,52087.97229,2963.341,739.6,134.5032056,Oceania
Austria,2010,8363404,3.91893E+11,46858.04327,1104.628,200.8219178,132.0787564,Europe
Azerbaijan,2010,9054332,52909294792,5843.533768,0,325,0,Asia
Bahrain,2010,1240864,25713271277,20722.07049,0,260,0,Asia
Bangladesh,2010,147575433,1.15279E+11,781.1535777,0,39,0,Asia
Belarus,2010,9483836,57222490769,6033.686239,0,460,0,Europe
Belgium,2010,10895586,4.80952E+11,44141.87814,1918.9,787,176.1171909,Europe
Brazil,2010,195713637,2.20884E+12,11286.07154,928,1991.741,4.741621556,SAM
Bulgaria,2010,7395599,50682061053,6853.002854,513,195,69.3655781,Europe
Canada,2010,34004889,1.61734E+12,47562.08343,4188,1913.184314,123.1587611,NAM
Chile,2010,17062531,2.18538E+11,12808.03834,163,242,9.553096197,SAM
China,2010,1337705000,6.08716E+12,4550.453108,30679.378,12322.53329,22.93433754,Asia
Colombia,2010,45222699,2.86563E+11,6336.709474,0,350,0,SAM
Costa Rica,2010,4577371,37658614803,8227.127494,285.3,0,62.32835398,NAM
Croatia,2010,4295427,60426018629,14067.52312,0,0,0,Europe
Curacao,2010,148703,0,0,0,320,0,SAM
Czech Republic,2010,10474410,2.0907E+11,19960.06849,1727,193.3915068,164.8780218,Europe
Denmark,2010,5547683,3.21995E+11,58041.39844,3808.8,188.7726027,686.5568923,Europe
Ecuador,2010,15011114,69555367000,4633.591284,0,175,0,SAM
Egypt,2010,82761244,2.18984E+11,2645.968759,565,810,6.826866933,Africa
El Salvador,2010,6183877,18447920000,2983.228806,204.4,0,33.05369754,NAM
Ethiopia,2010,87639962,29933790334,341.5541227,7.3,0,0.083295335,Africa
Finland,2010,5363352,2.49181E+11,46459.97325,197,261.0684932,36.73076091,Europe
France,2010,65027505,2.64261E+12,40638.33525,6956,1702.20674,106.9701198,Europe
Germany,2010,81776930,3.39635E+12,41531.9342,44918,2091.15863,549.274716,Europe
Greece,2010,11121341,2.96835E+11,26690.60742,1500,490,134.8758212,Europe
Guatemala,2010,14259687,40676432029,2852.547327,54.2,0,3.800924943,NAM
Honduras,2010,8317467,15729649159,1891.158589,3.7,0,0.444846971,NAM
Hungary,2010,10000023,1.32231E+11,13223.083,2,165,0.19999954,Europe
Iceland,2010,318041,13751161918,43237.07295,575,0,1807.943001,Europe
India,2010,1234281163,1.67562E+12,1357.563727,13249.362,3703.308387,10.73447639,Asia
Indonesia,2010,241834226,7.55094E+11,3122.362673,1189,1099.245,4.916591087,Asia
Iran,2010,73762519,4.86808E+11,6599.660938,95,1950,1.28791697,Asia
Iraq,2010,29741977,1.38517E+11,4657.280269,0,914,0,Asia
Ireland,2010,4560155,2.2166E+11,48607.94052,1390.4,75,304.9019167,Europe
Israel,2010,7623600,2.34655E+11,30780.02382,69.9,280,9.168896584,Asia
Italy,2010,59277417,2.13402E+12,36000.52012,10118.7,2396,170.7007578,Europe
Japan,2010,128070000,5.75907E+12,44968.15623,6430,4290.6028,50.20691809,Asia
Jordan,2010,7261541,27133804225,3736.645462,1.4,0,0.192796543,Asia
Kazakhstan,2010,16321872,1.48047E+11,9070.488253,0,330,0,Asia
Kenya,2010,42030684,45405587557,1080.296184,198,0,4.710844106,Africa
South Korea,2010,24548840,0,0,1032,0,42.03864623,Asia
Kuwait,2010,2991884,1.15419E+11,38577.49828,0,936,0,Asia
Lithuania,2010,3097282,37128694028,11987.50841,0,240.9863014,0,Europe
Malaysia,2010,28208028,2.55017E+11,9040.568495,0.544,582,0.01928529,Asia
Mexico,2010,114092961,1.0578E+12,9271.398396,1513,1463,13.26111608,NAM
Morocco,2010,32343384,93216746662,2882.096279,234.545,130.5342466,7.25171491,Africa
Netherlands,2010,16615394,8.46555E+11,50950.03434,2327,1273.929,140.0508468,Europe
New Zealand,2010,4350700,1.46518E+11,33676.77412,1255,135.605,288.4593284,Oceania
Nicaragua,2010,5824058,8758592272,1503.864191,87.5,0,15.02388884,NAM
Nigeria,2010,158503203,3.61457E+11,2280.437337,0,321,0,Africa
Norway,2010,4889252,4.28757E+11,87693.79007,425,316,86.925362,Europe
Oman,2010,3041435,64993498049,21369.35297,0,222,0,Asia
Pakistan,2010,179424643,1.77166E+11,987.409712,15.325,278.7053166,0.085411902,Asia
Papua New Guinea,2010,7310512,14250755231,1949.351185,56,0,7.660202186,Oceania
Peru,2010,29027680,1.47529E+11,5082.353706,0,252,0,SAM
Philippines,2010,93966784,2.08369E+11,2217.472153,1880.5,264.1,20.01239076,Asia
Poland,2010,38042794,4.79834E+11,12613.011,1108,560.4738904,29.12509528,Europe
Portugal,2010,10573100,2.37881E+11,22498.69086,3955,306.494411,374.0624793,Europe
Qatar,2010,1856329,1.25122E+11,67403.08768,0,283,0,Asia
Romania,2010,20246871,1.66309E+11,8214.076893,389.1,246.7900548,19.21778432,Europe
Russia,2010,142849468,1.52492E+12,10674.99578,91,5527,0.637034224,Asia
Saudi Arabia,2010,27421468,5.28207E+11,19262.5476,0,2109,0,Asia
Singapore,2010,5076732,2.39809E+11,47236.96023,0,1427,0,Asia
Slovakia,2010,5391428,90712671901,16825.35163,0,122,0,Europe
South Africa,2010,51216967,4.17365E+11,8148.961202,12.119,520,0.236620806,Africa
Spain,2010,46576897,1.42072E+12,30502.71971,24566,1421.417534,527.4288667,Europe
Sweden,2010,9378126,4.95813E+11,52869.04429,2028,454,216.2478943,Europe
Switzerland,2010,7824909,6.03434E+11,77117.12601,125,140,15.97462667,Europe
Thailand,2010,67195032,3.41105E+11,5076.339872,54.2,1229.5,0.80660725,Asia
Trinidad and Tobago,2010,1328144,22157948396,16683.39306,0,165,0,NAM
Tunisia,2010,10635245,46206331261,4344.64192,53,0,4.983430095,Africa
Turkey,2010,72326992,7.76993E+11,10742.77498,1419.7,613,19.62890977,Europe
Turkmenistan,2010,5087211,22583157895,4439.202128,0,251.0273973,0,Asia
Ukraine,2010,45870741,1.4121E+11,3078.429982,90.5,686,1.972935209,Europe
United Arab Emirates,2010,8549998,2.89787E+11,33893.26387,10.8,702,1.26315819,Asia
United Kingdom,2010,62766365,2.49111E+12,39688.61497,5516.2,1757.191781,87.88464968,Europe
United States,2010,309327143,1.49921E+13,48466.6576,43580,17736,140.8864401,NAM
Uruguay,2010,3359273,40284481652,11992.02377,40.6,0,12.08594836,SAM
Uzbekistan,2010,28562400,49765676402,1742.349256,0,232,0,Asia
Venezuela,2010,28439942,3.93192E+11,13825.35712,0,1303,0,SAM
Vietnam,2010,87967655,1.15932E+11,1317.890646,4.518,162,0.051359787,Asia
Algeria,2011,36661438,2.00013E+11,5455.679403,0,652.35,0,Africa
Argentina,2011,41261490,5.30163E+11,12848.8642,60.6,625,1.468681814,SAM
Australia,2011,22340024,1.39791E+12,62574.1457,4618.227,742.4,206.7243527,Oceania
Austria,2011,8391643,4.3112E+11,51374.95841,1280.066,192.7890411,152.5405692,Europe
Azerbaijan,2011,9173082,65951627200,7189.691229,0,325,0,Asia
Bahrain,2011,1278153,28776595745,22514.20272,0,260,0,Asia
Bangladesh,2011,149273134,1.28638E+11,861.7621622,0,39,0,Asia
Belarus,2011,9461643,61757788945,6527.173869,0,460,0,Europe
Belgium,2011,11038264,5.22646E+11,47348.52502,3048.1,788,276.1394364,Europe
Brazil,2011,197514541,2.61616E+12,13245.38737,1428,2013.795,7.229847447,SAM
Bulgaria,2011,7348328,57678241024,7849.165283,695,195,94.57933832,Europe
Canada,2011,34339328,1.79333E+12,52223.69611,5762,2004.535605,167.7959452,NAM
Chile,2011,17233584,2.52252E+11,14637.23344,184,250,10.67682729,SAM
China,2011,1345035000,7.5515E+12,5614.352135,49488.6,13014.68611,36.79354069,Asia
Colombia,2011,45662747,3.34944E+11,7335.166934,0,336,0,SAM
Costa Rica,2011,4633086,42762617082,9229.834517,350.3,0,75.60835262,NAM
Croatia,2011,4280622,63169910822,14757.18034,0,0,0,Europe
Curacao,2011,150831,3038699609,20146.38641,0,320,0,SAM
Czech Republic,2011,10496088,2.29563E+11,21871.26608,1913,193.3915068,182.2583805,Europe
Denmark,2011,5570572,3.44003E+11,61753.64713,3969,180.739726,712.4941568,Europe
Ecuador,2011,15243885,79276664000,5200.555108,0,175,0,SAM
Egypt,2011,84529251,2.3599E+11,2791.810766,565,810,6.684076735,Africa
El Salvador,2011,6210567,20283780000,3266.010978,204,0,32.84724245,NAM
Ethiopia,2011,90139928,31952763089,354.4795719,7.3,0,0.080985199,Africa
Finland,2011,5388272,2.75244E+11,51081.99767,199,261.0684932,36.93206282,Europe
France,2011,65342789,2.86141E+12,43790.72602,9777.916,1610.170055,149.6403222,Europe
Germany,2011,80274983,3.74441E+12,46644.77603,54632,2077.482658,680.5607172,Europe
Greece,2011,11104899,2.82626E+11,25450.53412,2252,495,202.7933798,Europe
Guatemala,2011,14521515,46876114650,3228.045741,54.2,0,3.732392936,NAM
Honduras,2011,8480670,17588098575,2073.90437,4.5,0,0.530618453,NAM
Hungary,2011,9971727,1.42E+11,14240.2575,4,165,0.401134127,Europe
Iceland,2011,319014,15221622926,47714.59223,665,0,2084.548014,Europe
India,2011,1250287939,1.82305E+12,1458.104066,16742.315,3794.578716,13.39076742,Asia
Indonesia,2011,245115988,8.92969E+11,3643.047176,1226,1099.245,5.001713719,Asia
Iran,2011,74634959,5.80765E+11,7781.405801,98.2,1950,1.315737307,Asia
Iraq,2011,30725305,1.8575E+11,6045.494567,0,935,0,Asia
Ireland,2011,4580084,2.38663E+11,52108.83323,1584.6,75,345.9761873,Europe
Israel,2011,7765800,2.62294E+11,33775.512,189.7,292,24.42761853,Asia
Italy,2011,59379449,2.29199E+12,38599.06221,20777,2276,349.9022027,Europe
Japan,2011,127833000,6.23315E+12,48760.07895,7846,4274.2628,61.37695274,Asia
Jordan,2011,7662858,29524149155,3852.890025,1.4,0,0.182699458,Asia
Kazakhstan,2011,16557202,1.92627E+11,11634.0012,0,330,0,Asia
Kenya,2011,43178270,46869457318,1085.487152,198,0,4.585639953,Africa
South Korea,2011,24673392,0,0,1155.2,0,46.81966711,Asia
Kuwait,2011,3168054,1.54068E+11,48631.7834,0,936,0,Asia
Lithuania,2011,3028115,43535051482,14376.94786,0,240.9863014,0,Europe
Malaysia,2011,28650962,2.97952E+11,10399.37021,0.544,601,0.018987146,Asia
Mexico,2011,115695468,1.18049E+12,10203.4213,1527,1605.5,13.19844266,NAM
Morocco,2011,32781860,1.0137E+11,3092.273419,269.174,130.5342466,8.21106551,Africa
Netherlands,2011,16693074,9.04086E+11,54159.34661,2465,1276.229,147.666032,Europe
New Zealand,2011,4384000,1.68291E+11,38387.62708,1250,135.605,285.1277372,Oceania
Nicaragua,2011,5903035,9774262742,1655.802946,87.5,0,14.82288348,NAM
Nigeria,2011,162805080,4.04994E+11,2487.598017,0,446,0,Africa
Norway,2011,4953088,4.98283E+11,100600.5624,512,329,103.3698573,Europe
Oman,2011,3251102,77497529259,23837.31094,0,222,0,Asia
Pakistan,2011,183340168,2.13587E+11,1164.978823,24.632,278.8951736,0.134351355,Asia
Papua New Guinea,2011,7472196,17984910502,2406.910967,56,0,7.494450092,Oceania
Peru,2011,29264314,1.71762E+11,5869.323882,0,252,0,SAM
Philippines,2011,95570049,2.34217E+11,2450.735694,1881.5,261.25,19.68713022,Asia
Poland,2011,38063255,5.28301E+11,13879.56099,1800,579.5720548,47.28970237,Europe
Portugal,2011,10557560,2.44797E+11,23186.91313,4453.215,306.494411,421.8034281,Europe
Qatar,2011,2035862,1.67775E+11,82409.94165,0,283,0,Asia
Romania,2011,20147528,1.83327E+11,9099.217539,989,228.8968219,49.08790796,Europe
Russia,2011,142960908,2.04593E+12,14311.08432,91,5673,0.636537647,Asia
Saudi Arabia,2011,28267591,6.71239E+11,23745.88058,0,2107,0,Asia
Singapore,2011,5183688,2.79351E+11,53890.42873,0,1427,0,Asia
Slovakia,2011,5398384,99362720494,18406.01196,19,122,3.519571783,Europe
South Africa,2011,52003759,4.58202E+11,8810.930651,15.818,520,0.30417032,Africa
Spain,2011,46742697,1.47877E+12,31636.44631,25812,1541.910685,552.2146058,Europe
Sweden,2011,9449213,5.74094E+11,60755.75955,2776,454,293.78108,Europe
Switzerland,2011,7912398,7.22038E+11,91254.03476,223,140,28.18361766,Europe
Thailand,2011,67518379,3.70819E+11,5492.1215,86,1229.5,1.273727262,Asia
Trinidad and Tobago,2011,1336180,25433011405,19034.12071,0,165,0,NAM
Tunisia,2011,10741872,48122838145,4479.930327,53,0,4.933963093,Africa
Turkey,2011,73443254,8.38763E+11,11420.55546,1849.7,596,25.18543092,Europe
Turkmenistan,2011,5174076,29233333333,5649.962106,0,251.0273973,0,Asia
Ukraine,2011,45706086,1.69333E+11,3704.824973,334.2,700,7.311936533,Europe
United Arab Emirates,2011,8946778,3.50666E+11,39194.67224,12.6,707,1.408328227,Asia
United Kingdom,2011,63258810,2.67489E+12,42284.88449,7596.3,1787.315068,120.0828786,Europe
United States,2011,311583481,1.55426E+13,49882.55813,53257,17367,170.9236954,NAM
Uruguay,2011,3368926,47962439304,14236.715,43.6,0,12.94180994,SAM
Uzbekistan,2011,29339400,60178909297,2051.129515,0,232,0,Asia
Venezuela,2011,28887873,3.16482E+11,10955.53801,0,1303,0,SAM
Vietnam,2011,88871384,1.35539E+11,1525.119025,4.518,159,0.050837511,Asia
Algeria,2012,37383899,2.09059E+11,5592.220115,0,652.35,0,Africa
Argentina,2012,41733271,5.45982E+11,13082.66433,143,657,3.42652269,SAM
Australia,2012,22733465,1.54651E+12,68027.84171,6360,663.4,279.7637756,Oceania
Austria,2012,8429991,4.09425E+11,48567.69529,1674.15,192.7890411,198.5945181,Europe
Azerbaijan,2012,9295784,69683935845,7496.294648,0,325,0,Asia
Bahrain,2012,1299942,30749308511,23654.36959,0,260,0,Asia
Bangladesh,2012,151005733,1.33356E+11,883.1171296,0,40,0,Asia
Belarus,2012,9446836,65685102555,6953.132515,0,460,0,Europe
Belgium,2012,11106932,4.96181E+11,44673.11588,4016.5,753,361.6210129,Europe
Brazil,2012,199287292,2.46523E+12,12370.22325,1897,2004.235,9.518921056,SAM
Bulgaria,2012,7305888,54300857424,7432.478766,1690,195,231.3202721,Europe
Canada,2012,34714222,1.82837E+12,52669.08996,6967,2014.852814,200.6958416,NAM
Chile,2012,17400359,2.67122E+11,15351.54074,204,254,11.72389604,SAM
China,2012,1354190000,8.53223E+12,6300.615118,68341.873,13680.51118,50.46697509,Asia
Colombia,2012,46075721,3.70921E+11,8050.255372,0,336,0,SAM
Costa Rica,2012,4688003,47231651863,10075.00462,365.6,0,77.98629822,NAM
Croatia,2012,4267558,57192346923,13401.65662,0,0,0,Europe
Curacao,2012,152088,3131096089,20587.39736,0,320,0,SAM
Czech Republic,2012,10510785,2.08858E+11,19870.80121,2022,174.7150685,192.3738332,Europe
Denmark,2012,5591572,3.27149E+11,58507.50805,4563.9,180.739726,816.2105397,Europe
Ecuador,2012,15474099,87924544000,5682.046108,0,175,0,SAM
Egypt,2012,86422240,2.79117E+11,3229.68563,585,810,6.769090919,Africa
El Salvador,2012,6237922,21386150000,3428.409332,204.4,0,32.76732219,NAM
Ethiopia,2012,92726982,43310721414,467.0778718,7.3,0,0.078725737,Africa
Finland,2012,5413971,2.58305E+11,47710.79022,257,261.0684932,47.46977773,Europe
France,2012,65659814,2.68383E+12,40874.70039,11981.596,1512.771425,182.4798955,Europe
Germany,2012,80425823,3.52734E+12,43858.36306,65070,2096.520575,809.0685003,Europe
Greece,2012,11045011,2.42043E+11,21914.25173,3289,498,297.7815052,Europe
Guatemala,2012,14781942,49593961142,3355.036919,54.2,0,3.666635954,NAM
Honduras,2012,8640692,18400538859,2129.521439,5.2,0,0.601803652,NAM
Hungary,2012,9920362,1.28857E+11,12989.18028,12,165,1.209633277,Europe
Iceland,2012,320716,14751508134,45995.54788,665,0,2073.485576,Europe
India,2012,1265780243,1.82764E+12,1443.882435,18278.7,4278.828378,14.44065832,Asia
Indonesia,2012,248451714,9.1787E+11,3694.35934,1336,1099.245,5.377302408,Asia
Iran,2012,75539881,5.98868E+11,7927.844908,106.1,2042,1.404556091,Asia
Iraq,2012,31890012,2.18002E+11,6836.073995,0,971,0,Asia
Ireland,2012,4599533,2.2551E+11,49028.82739,1704.4,75,370.559359,Europe
Israel,2012,7910500,2.58417E+11,32667.60687,242.8,292,30.69338221,Asia
Italy,2012,59539717,2.08708E+12,35053.52624,25615,2098,430.2170264,Europe
Japan,2012,127629000,6.27236E+12,49145.28043,9504,4253.57085,74.46583457,Asia
Jordan,2012,8089963,31634561690,3910.346894,1.5,0,0.185414939,Asia
Kazakhstan,2012,16792090,2.07999E+11,12386.69927,0,330,0,Asia
Kenya,2012,44343469,56396706006,1271.815383,205.5,0,4.634278838,Africa
South Korea,2012,24800638,0,0,1488.2,0,60.0065208,Asia
Kuwait,2012,3348852,1.7407E+11,51979.12069,0,936,0,Asia
Lithuania,2012,2987773,42927454291,14367.70942,0,240.9863014,0,Europe
Malaysia,2012,29068189,3.14443E+11,10817.43171,25.104,606,0.863624493,Asia
